Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Pop Size,Mate Pct,Mutate Pct
5,1,GA,0.3776490706879874,6458580.0,3000,0.95,0.2
5,2,GA,0.38356659832264756,6218420.0,3000,0.95,0.2
5,4,GA,0.3845278856538042,1.100906E7,3000,0.95,0.2
5,8,GA,0.38452788565380425,2.523858E7,3000,0.95,0.2
5,16,GA,0.3845278856538042,4.078726E7,3000,0.95,0.2
5,32,GA,0.38452788565380425,6.592552E7,3000,0.95,0.2
5,64,GA,0.38452788565380425,1.3605464E8,3000,0.95,0.2
5,128,GA,0.38452788565380425,2.694725E8,3000,0.95,0.2
5,256,GA,0.38452788565380425,5.7950242E8,3000,0.95,0.2
5,512,GA,0.38452788565380425,1.15985944E9,3000,0.95,0.2
5,1024,GA,0.38452788565380425,2.08059778E9,3000,0.95,0.2
5,2048,GA,0.38452788565380425,4.19202286E9,3000,0.95,0.2
5,4096,GA,0.38452788565380425,8.39565376E9,3000,0.95,0.2
